Chr	Pos	Filename	
chr12 35719232 COV05_BACK01_1
chr1 212228436 COV05_BACK01_1
chr9 11229509 COV05_BACK01_1
chr13 24494056 COV05_BACK01_1
chr19 42819506 COV05_BACK01_1
chr22 37661297 COV05_BACK01_1
chr2 41560023 COV05_BACK01_1
chr12 4955300 COV05_BACK01_2
chr14 62405430 COV05_BACK01_2
chr18 25957724 COV05_BACK01_2
chr1 52488164 COV05_BACK01_2
chr15 35013267 COV05_BACK01_2
chr4 45506844 COV05_BACK01_2
chr1 62346666 COV05_BACK01_3
chr21 34763205 COV05_BACK01_3
chr17 35545442 COV05_BACK01_3
chr20 53813279 COV05_BACK01_3
chr22 18480342 COV05_BACK01_3
chr2 156490390 COV05_BACK01_3
chr10 68941433 COV05_BACK01_4
chr16 87596641 COV05_BACK01_4
chr1 223601506 COV05_BACK01_4
chr13 42894514 COV05_BACK01_4
chr15 51859028 COV05_BACK01_4
chr6 169153399 COV05_BACK01_4
chr10 119232781 COV05_BACK01_5
chr1 164951616 COV05_BACK01_5
chr11 63321249 COV05_BACK01_5
chr15 31642609 COV05_BACK01_5
chrX 67008341 COV05_BACK01_5
chr16 56971121 COV05_BACK01_6
chr1 114178254 COV05_BACK01_6
chr7 39416866 COV05_BACK01_6
chr9 78220232 COV05_BACK01_6
chr20 9227203 COV05_BACK01_6
chr2 212379597 COV05_BACK01_6
chr4 94778394 COV05_BACK01_6
chr16 16511677 COV05_BACK01_7
chr1 172092031 COV05_BACK01_7
chr5 47391671 COV05_BACK01_7
chr7 100652619 COV05_BACK01_7
chr4 151523319 COV05_BACK01_7
chr8 107510547 COV05_BACK01_7
chr1 224654806 COV05_BACK01_8
chr3 134543117 COV05_BACK01_8
chr13 24089082 COV05_BACK01_8
chr4 117916507 COV05_BACK01_8
chr6 164162162 COV05_BACK01_8
chr18 21120796 COV05_BACK01_9
chr1 130846900 COV05_BACK01_9
chr7 100353502 COV05_BACK01_9
chr22 21078282 COV05_BACK01_9
chr2 54700219 COV05_BACK01_9
chr4 90169459 COV05_BACK01_9
chr8 93889105 COV05_BACK01_9
chr1 94935449 COV05_BACK01_10
chr11 99221423 COV05_BACK01_10
chr13 64701390 COV05_BACK01_10
chr19 33358607 COV05_BACK01_10
chr20 5651634 COV05_BACK01_10
chr2 23008805 COV05_BACK01_10
chr8 17487480 COV05_BACK01_10
