Chr	Pos	Filename	
chr12 40547551 COV025_BACK01_1
chr18 34624526 COV025_BACK01_1
chr1 242179664 COV025_BACK01_1
chr7 88480655 COV025_BACK01_1
chr9 97284387 COV025_BACK01_1
chr2 45444355 COV025_BACK01_1
chr16 45710364 COV025_BACK01_2
chr1 217982106 COV025_BACK01_2
chr19 14869676 COV025_BACK01_2
chr2 42145365 COV025_BACK01_2
chr4 180604878 COV025_BACK01_2
chr8 75028603 COV025_BACK01_2
chr10 7508350 COV025_BACK01_3
chr1 65004579 COV025_BACK01_3
chr5 159789780 COV025_BACK01_3
chr13 96545904 COV025_BACK01_3
chr17 70670612 COV025_BACK01_3
chr16 66687649 COV025_BACK01_4
chr1 142688625 COV025_BACK01_4
chr11 121256288 COV025_BACK01_4
chr13 41147592 COV025_BACK01_4
chr20 441770 COV025_BACK01_4
chr2 18188437 COV025_BACK01_4
chr8 104020587 COV025_BACK01_4
chr14 51018290 COV025_BACK01_5
chr18 52371630 COV025_BACK01_5
chr1 78016995 COV025_BACK01_5
chr21 32932461 COV025_BACK01_5
chr20 3461102 COV025_BACK01_5
chr2 238389165 COV025_BACK01_5
chr16 38496154 COV025_BACK01_6
chr1 148536824 COV025_BACK01_6
chr7 2167949 COV025_BACK01_6
chr13 50706538 COV025_BACK01_6
chr15 79088232 COV025_BACK01_6
chr18 23013280 COV025_BACK01_7
chr1 230146842 COV025_BACK01_7
chr3 140718048 COV025_BACK01_7
chr15 56912288 COV025_BACK01_7
chr22 22847683 COV025_BACK01_7
chr2 98287378 COV025_BACK01_7
chr6 94045314 COV025_BACK01_7
chr14 102240811 COV025_BACK01_8
chr16 56332052 COV025_BACK01_8
chr1 74376612 COV025_BACK01_8
chr21 27273035 COV025_BACK01_8
chr7 135102094 COV025_BACK01_8
chr22 22101037 COV025_BACK01_8
chr2 184713524 COV025_BACK01_8
chr5 101799088 COV025_BACK01_9
chr9 130089450 COV025_BACK01_9
chr20 1538090 COV025_BACK01_9
chr2 101897764 COV025_BACK01_9
chr4 94340716 COV025_BACK01_9
chr8 143777833 COV025_BACK01_9
chr14 102693974 COV025_BACK01_10
chr1 872415 COV025_BACK01_10
chr9 37558927 COV025_BACK01_10
chr15 33681367 COV025_BACK01_10
chr22 49859975 COV025_BACK01_10
chr2 75731649 COV025_BACK01_10
chr6 60857992 COV025_BACK01_10
