Chr	Pos	Filename	
chr18 28462453 COV01_BACK01_1
chr1 232435665 COV01_BACK01_1
chr5 163651011 COV01_BACK01_1
chr8 108053737 COV01_BACK01_1
chrX 97008270 COV01_BACK01_1
chr10 64599063 COV01_BACK01_2
chr1 24790106 COV01_BACK01_2
chr3 129750123 COV01_BACK01_2
chr17 1953113 COV01_BACK01_2
chr8 5397472 COV01_BACK01_2
chrX 128446200 COV01_BACK01_2
chr12 50479601 COV01_BACK01_3
chr1 18677317 COV01_BACK01_3
chr3 78384933 COV01_BACK01_3
chr7 113690797 COV01_BACK01_3
chr4 102956142 COV01_BACK01_3
chrX 112793632 COV01_BACK01_3
chr1 126503012 COV01_BACK01_4
chr19 7474079 COV01_BACK01_4
chr22 45375651 COV01_BACK01_4
chr2 215740305 COV01_BACK01_4
chr4 117396071 COV01_BACK01_4
chr8 56485991 COV01_BACK01_4
chr1 188728923 COV01_BACK01_5
chr21 44033401 COV01_BACK01_5
chr5 119656391 COV01_BACK01_5
chr22 21555496 COV01_BACK01_5
chr2 75130046 COV01_BACK01_5
chr16 67178574 COV01_BACK01_6
chr1 185764012 COV01_BACK01_6
chr15 62372924 COV01_BACK01_6
chr2 183892017 COV01_BACK01_6
chr4 102680651 COV01_BACK01_6
chr8 1586336 COV01_BACK01_6
chr14 23129982 COV01_BACK01_7
chr1 78520896 COV01_BACK01_7
chr9 61331070 COV01_BACK01_7
chr13 81350734 COV01_BACK01_7
chr20 51043854 COV01_BACK01_7
chr22 32769985 COV01_BACK01_7
chr2 113901421 COV01_BACK01_7
chr1 167650149 COV01_BACK01_8
chr3 132073733 COV01_BACK01_8
chr9 19266975 COV01_BACK01_8
chr13 108440887 COV01_BACK01_8
chr4 97379223 COV01_BACK01_8
chr8 103322244 COV01_BACK01_8
chr1 219545450 COV01_BACK01_9
chr11 56985168 COV01_BACK01_9
chr19 54276239 COV01_BACK01_9
chr20 349536 COV01_BACK01_9
chr2 236004959 COV01_BACK01_9
chr4 83004263 COV01_BACK01_9
chr6 162182499 COV01_BACK01_9
chr12 100874970 COV01_BACK01_10
chr1 160905077 COV01_BACK01_10
chr21 23127391 COV01_BACK01_10
chr3 57877708 COV01_BACK01_10
chr5 92540684 COV01_BACK01_10
chr11 9790325 COV01_BACK01_10
chr2 66434173 COV01_BACK01_10
